"BehaviorSpace results (NetLogo 6.3.0)"
"For study-Task1.nlogo"
"NG_values_sens"
"06/21/2023 22:18:18:971 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","awareness","import-independence","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household","neighborhood-blackout-NG","neighborhood-NG-source-preference","share-national-NG-in-neighborhood","share-ally-NG-in-neighborhood","share-other-NG-in-neighborhood","neighborhood-national-NG","neighborhood-grid-NG","neighborhood-ally-NG","neighborhood-blackout-NG","miscomfort-for-environment"
"8","1","1","239","41","0.53","[false false false]","[110.2044095430543 130.93981832705975 131.78735207831897]","[75.63142379027909 54.89601500627366 54.048481255014494]","[2.0699093173636154 2.527331097550275 2.0548074900822964]","[151.95946686628815 146.2416946139549 152.14823970730464]","[0 0 0]","[[0 0 0 99] [0 0 0 74] [0 0 0 91]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[939598 1684951 1427232]","[0 0 0]","[0 0 0]","[321249 757003 467808]"
"2","1","1","239","41","0.48","[false false false]","[113.36546309149328 137.80285138549849 107.26829590654755]","[72.47037024184004 48.03298194783483 78.56753742678586]","[2.0005043632284765 2.150448448606446 2.2486235450053598]","[152.8270287929774 150.95272772575277 149.72553902076635]","[0 0 0]","[[0 0 0 68] [0 0 0 94] [0 0 0 84]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[842176 2785250 1053770]","[0 0 0]","[0 0 0]","[467976 874374 418090]"
"5","1","1","239","41","0.45","[false false false]","[111.75657589858464 105.97141895582011 135.265733406954]","[74.07925743474863 79.8644143775133 50.57009992637928]","[1.8196120184354185 1.9681744234296092 2.115893957343553]","[155.0881831028906 153.23115304046323 151.38465886653893]","[0 0 0]","[[0 0 0 72] [0 0 0 80] [0 0 0 82]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[799228 739306 2065509]","[0 0 0]","[0 0 0]","[355304 378054 757454]"
"6","1","1","239","41","0.4533333333333333","[false false false]","[128.2377635119872 111.13112963781165 108.5274209301393]","[57.59806982134622 74.70470369552166 77.30841240319404]","[2.3899491258505714 1.9644495199861671 2.2340838828451637]","[147.9589692602012 153.27771433350625 149.9072847977688]","[0 0 0]","[[0 0 0 84] [0 0 0 99] [0 0 0 80]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1514980 1238472 883818]","[0 0 0]","[0 0 0]","[571332 454068 380504]"
"7","1","1","239","41","0.40666666666666673","[false false false]","[106.03342378828674 109.8222245834229 132.72828699281578]","[79.80240954504647 76.01360874991053 53.10754634051752]","[2.27322677826151 2.0725414510164617 2.3856206256830865]","[149.41799860506447 151.92656519562757 148.01307551229476]","[0 0 0]","[[0 0 0 89] [0 0 0 78] [0 0 0 87]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1431120 996695 2029656]","[0 0 0]","[0 0 0]","[470016 528802 666672]"
"4","1","1","239","41","0.4033333333333333","[false false false]","[135.42525844005152 106.13440433254608 109.44276154764195]","[50.41057489328195 79.70142900078726 76.3930717856915]","[2.2372058051133625 2.390195053048326 2.0822820907515736]","[149.8682607694163 147.95589517022927 151.80480719893868]","[0 0 0]","[[0 0 0 99] [0 0 0 88] [0 0 0 88]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[2369973 1247615 1042819]","[0 0 0]","[0 0 0]","[592931 526184 504394]"
"3","1","1","239","41","0.28","[false false false]","[101.80000297888435 98.4295039520277 102.57025158001]","[84.03583035444892 87.40632938130557 83.26558175332327]","[2.426979213767688 2.36815247767101 2.2387707545660693]","[147.49609316123724 148.23142736244571 149.84869890125748]","[0 0 0]","[[0 0 0 83] [0 0 0 81] [0 0 0 82]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1318151 909476 978197]","[0 0 0]","[0 0 0]","[514331 399395 456132]"
"1","1","1","239","41","0.45333333333333337","[false false false]","[104.15239094817777 135.37590274199346 106.2527292390058]","[81.68344238515573 50.45993059133988 79.58310409432747]","[2.404017765042236 2.454947534655555 2.2087620753704393]","[147.7831112703054 147.1464891501389 150.22380739120285]","[0 0 0]","[[0 0 0 79] [0 0 0 86] [0 0 0 73]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[788279 2793291 1022790]","[0 0 0]","[0 0 0]","[402194 853128 505176]"
"9","1","1","239","41","0.44333333333333336","[false false false]","[105.27714448068336 130.58436856033435 99.97545375193904]","[80.5586888526499 55.251464772998965 85.86037958139417]","[2.3687830966906858 2.208289105954855 2.694011431352162]","[148.22354462469977 150.22971950889766 144.15819044143132]","[0 0 0]","[[0 0 0 89] [0 0 0 91] [0 0 0 72]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1512792 1700586 1269953]","[0 0 0]","[0 0 0]","[629536 584064 664326]"
"11","1","1","239","41","0.38000000000000006","[false false false]","[99.61527166500592 126.86262147469726 106.66946200976422]","[86.22056166832742 58.973211858636084 79.1663713235692]","[2.540021590054214 2.5324219281859657 2.012976304963065]","[146.08306345765567 146.17805923100877 152.67112952129503]","[0 0 0]","[[0 0 0 97] [0 0 0 72] [0 0 0 103]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1254491 1481399 1517399]","[0 0 0]","[0 0 0]","[472012 622630 520862]"
"10","1","1","239","41","0.3833333333333333","[false false false]","[108.17247863593455 100.55396122315645 134.33124575565142]","[77.66335469739882 85.28187211017688 51.50458757768197]","[1.5945111267644096 2.195838129060037 2.2478958785683405]","[157.90194424877822 150.38535672008288 149.7346348512291]","[0 0 0]","[[0 0 0 78] [0 0 0 84] [0 0 0 74]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[572356 1242435 2073619]","[0 0 0]","[0 0 0]","[304138 564267 803344]"
"13","1","1","239","41","0.29","[false false false]","[105.5658297216331 108.10073660889348 101.39432693750638]","[80.27000361170033 77.73509672443986 84.44150639582703]","[2.453452231747515 2.336683181395215 2.598432450529488]","[147.1651804364894 148.62479356589316 145.35292770171475]","[0 0 0]","[[0 0 0 74] [0 0 0 79] [0 0 0 78]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[767069 734103 1117168]","[0 0 0]","[0 0 0]","[327872 315276 474780]"
"12","1","1","239","41","0.47","[false false false]","[112.92758005439879 129.71612758410402 105.22754137680214]","[72.9082532789346 56.11970574922934 80.60829195653116]","[1.9058678006052514 2.2869391742950915 2.0844784185086724]","[154.0099858257677 149.2465936546447 151.77735310197494]","[0 0 0]","[[0 0 0 73] [0 0 0 85] [0 0 0 82]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1319036 1505805 921921]","[0 0 0]","[0 0 0]","[575515 539448 434176]"
"14","1","1","239","41","0.5066666666666667","[false false false]","[106.87221830046671 109.79185651471343 134.54149199213458]","[78.96361503286674 76.04397681861998 51.29434134119861]","[2.3005410668985586 1.8655492275642427 2.3588769579399105]","[149.07656999710136 154.5139679887803 148.34737135908446]","[0 0 0]","[[0 0 0 77] [0 0 0 67] [0 0 0 81]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1526970 608295 2374484]","[0 0 0]","[0 0 0]","[634800 394160 944580]"
